hh,mm,ss,ms,time_s,Weight_g,MCwb,MCdb,Drying_rate
5.0,21.0,5.0,846734.0,46410.0,66.07999999999993,0.12312263641274954,1.2312263641274952,0.00016739438991321922
5.0,21.0,35.0,844104.0,46440.0,66.03999999999996,0.12298757428417051,1.229875742841705,0.00016731533714811142
5.0,22.0,5.0,847115.0,46470.0,66.01999999999998,0.12292004321988101,1.22920043219881,0.0001672218542672948
5.0,22.0,35.0,849291.0,46500.0,65.95999999999992,0.12271745002701208,1.2271745002701206,0.00016715753762859954
5.0,23.0,5.0,850129.0,46530.0,65.93999999999994,0.12264991896272258,1.2264991896272257,0.00016706427703358636
5.0,23.0,35.0,852460.0,46560.0,65.86000000000001,0.12237979470556452,1.2237979470556453,0.00016701464890344402
5.0,24.0,5.0,851635.0,46590.0,65.83999999999992,0.12231226364127464,1.223122636412746,0.00016692160042041754
5.0,24.0,35.0,853336.0,46620.0,65.77999999999997,0.1221096704484061,1.2210967044840608,0.00016685764254645944
5.0,25.0,5.0,854798.0,46650.0,65.74000000000001,0.12197460831982707,1.2197460831982707,0.00016677929082104456
5.0,25.0,35.0,854748.0,46680.0,65.69999999999993,0.12183954619124766,1.2183954619124766,0.0001667010398047884
5.0,26.0,5.0,855778.0,46710.0,65.65999999999997,0.12170448406266864,1.2170448406266863,0.00016662288930364616
5.0,26.0,35.0,856050.0,46740.0,65.60000000000002,0.12150189086980011,1.215018908698001,0.0001665592873620453
5.0,27.0,5.0,857353.0,46770.0,65.57999999999993,0.1214343598055102,1.214343598055102,0.0001664668890730147
5.0,27.0,35.0,857894.0,46800.0,65.53999999999996,0.12129929767693119,1.2129929767693117,0.00016638903895792068
5.0,28.0,5.0,859894.0,46830.0,65.5,0.12116423554835216,1.2116423554835216,0.00016631128858672812
5.0,28.0,35.0,858277.0,46860.0,65.45999999999992,0.12102917341977275,1.2102917341977275,0.00016623363776786752
5.0,29.0,5.0,859180.0,46890.0,65.39999999999998,0.12082658022690422,1.208265802269042,0.00016617048832866192
5.0,29.0,35.0,863039.0,46920.0,65.38,0.1207590491626147,1.207590491626147,0.00016607863402331313
5.0,30.0,5.0,863546.0,46950.0,65.29999999999995,0.12048892490545628,1.2048892490545626,0.00016603004794345978
5.0,30.0,35.0,865476.0,46980.0,65.25999999999999,0.12035386277687725,1.2035386277687725,0.00016595277505813594
5.0,31.0,5.0,864272.0,47010.0,65.24000000000001,0.12028633171258774,1.2028633171258774,0.00016586123554295092
5.0,31.0,35.0,866630.0,47040.0,65.17999999999995,0.12008373851971882,1.200837385197188,0.00016579852497454955
5.0,32.0,5.0,866697.0,47070.0,65.13999999999999,0.1199486763911398,1.199486763911398,0.00016572154739937542
5.0,32.0,35.0,868511.0,47100.0,65.10000000000002,0.11981361426256078,1.1981361426256076,0.0001656446678848066
5.0,33.0,5.0,868907.0,47130.0,65.03999999999996,0.11961102106969186,1.1961102106969184,0.00016558221492261999
5.0,33.0,35.0,870306.0,47160.0,65.0,0.11947595894111283,1.1947595894111283,0.0001655055218530295
5.0,34.0,5.0,873424.0,47190.0,64.95999999999992,0.11934089681253343,1.1934089681253341,0.0001654289262952885
5.0,34.0,35.0,872058.0,47220.0,64.91999999999996,0.1192058346839544,1.192058346839544,0.00016535242806354204
5.0,35.0,5.0,873250.0,47250.0,64.88,0.11907077255537538,1.1907077255537537,0.0001652760269724073
5.0,35.0,35.0,873250.0,47280.0,64.83999999999992,0.11893571042679597,1.1893571042679596,0.00016519972283697207
5.0,36.0,5.0,874113.0,47310.0,64.79999999999995,0.11880064829821695,1.1880064829821695,0.00016512351547279285
5.0,36.0,35.0,878129.0,47340.0,64.74000000000001,0.11859805510534842,1.185980551053484,0.0001650616698129809
5.0,37.0,5.0,878067.0,47370.0,64.69999999999993,0.118462992976769,1.1846299297676899,0.00016498564640557968
5.0,37.0,35.0,879298.0,47400.0,64.63999999999999,0.11826039978390047,1.1826039978390046,0.00016492396629031632
5.0,38.0,5.0,880559.0,47430.0,64.62,0.11819286871961096,1.1819286871961094,0.00016483388810465717
5.0,38.0,35.0,880973.0,47460.0,64.55999999999995,0.11799027552674204,1.1799027552674204,0.00016477238189491317
5.0,39.0,5.0,880804.0,47490.0,64.51999999999998,0.11785521339816302,1.17855213398163,0.00016469673333372012
5.0,39.0,35.0,882940.0,47520.0,64.5,0.1177876823338735,1.177876823338735,0.00016460696920583468
5.0,40.0,5.0,882983.0,47550.0,64.43999999999994,0.11758508914100459,1.1758508914100458,0.00016454572257812731
5.0,40.0,35.0,884213.0,47580.0,64.39999999999998,0.11745002701242556,1.1745002701242555,0.00016447036002260917
5.0,41.0,5.0,885985.0,47610.0,64.33999999999992,0.11724743381955664,1.1724743381955662,0.00016440927666045858
5.0,41.0,35.0,887346.0,47640.0,64.29999999999995,0.11711237169097762,1.1711237169097761,0.00016433409494311972
5.0,42.0,5.0,887114.0,47670.0,64.25999999999999,0.11697730956239859,1.1697730956239858,0.00016425900785349304
5.0,42.0,35.0,889025.0,47700.0,64.24000000000001,0.11690977849810909,1.1690977849810906,0.00016416985775720983
5.0,43.0,5.0,889910.0,47730.0,64.19999999999993,0.11677471636952967,1.1677471636952967,0.00016409496828629171
5.0,43.0,35.0,890053.0,47760.0,64.15999999999997,0.11663965424095066,1.1663965424095064,0.0001640201728976234
5.0,44.0,5.0,891746.0,47790.0,64.10000000000002,0.11643706104808212,1.1643706104808211,0.0001639596022079761
5.0,44.0,35.0,893452.0,47820.0,64.05999999999995,0.11630199891950271,1.163019989195027,0.00016388498558772422
5.0,45.0,5.0,894018.0,47850.0,64.01999999999998,0.11616693679092369,1.1616693679092367,0.00016381046253063244
5.0,45.0,35.0,896043.0,47880.0,63.98000000000002,0.11603187466234466,1.1603187466234466,0.00016373603286083026
5.0,46.0,5.0,896221.0,47910.0,63.95999999999992,0.11596434359805477,1.1596434359805476,0.00016364760100228453
5.0,46.0,35.0,897519.0,47940.0,63.89999999999998,0.11576175040518623,1.1576175040518621,0.00016358745298181344
5.0,47.0,5.0,898184.0,47970.0,63.860000000000014,0.1156266882766072,1.156266882766072,0.00016351330242305457
5.0,47.0,35.0,897489.0,48000.0,63.799999999999955,0.11542409508373828,1.1542409508373828,0.0001634533135242212
5.0,48.0,5.0,899712.0,48030.0,63.77999999999997,0.11535656401944877,1.1535656401944876,0.0001633652791964504
5.0,48.0,35.0,898946.0,48060.0,63.74000000000001,0.11522150189086976,1.1522150189086975,0.00016329140618167502
5.0,49.0,5.0,900129.0,48090.0,63.69999999999993,0.11508643976229034,1.1508643976229034,0.00016321762533535238
5.0,49.0,35.0,899929.0,48120.0,63.65999999999997,0.11495137763371133,1.149513776337113,0.0001631439364850974
5.0,50.0,5.0,902942.0,48150.0,63.620000000000005,0.1148163155051323,1.148163155051323,0.00016307033945895484
5.0,50.0,35.0,901291.0,48180.0,63.57999999999993,0.1146812533765529,1.1468125337655288,0.00016299683408539789
5.0,51.0,5.0,903989.0,48210.0,63.51999999999998,0.11447866018368436,1.1447866018368436,0.00016293742788141787
5.0,51.0,35.0,905379.0,48240.0,63.5,0.11441112911939484,1.1441112911939484,0.00016285009761206573
5.0,52.0,5.0,906450.0,48270.0,63.45999999999992,0.11427606699081544,1.1427606699081543,0.00016277686617136616
5.0,52.0,35.0,907800.0,48300.0,63.41999999999996,0.11414100486223641,1.141410048622364,0.0001627037257014003
5.0,53.0,5.0,908438.0,48330.0,63.379999999999995,0.11400594273365738,1.1400594273365738,0.0001626306760327628
5.0,53.0,35.0,909241.0,48360.0,63.33999999999992,0.11387088060507798,1.1387088060507797,0.00016255771699646857
5.0,54.0,5.0,908117.0,48390.0,63.299999999999955,0.11373581847649895,1.1373581847649894,0.00016248484842395144
5.0,54.0,35.0,910803.0,48420.0,63.25999999999999,0.11360075634791994,1.1360075634791993,0.0001624120701470632
5.0,55.0,5.0,914550.0,48450.0,63.19999999999993,0.11339816315505101,1.13398163155051,0.00016235332029823507
5.0,55.0,35.0,915513.0,48480.0,63.17999999999995,0.11333063209076151,1.1333063209076149,0.0001622667838096614
5.0,56.0,5.0,914502.0,48510.0,63.139999999999986,0.11319556996218248,1.1319556996218247,0.00016219427541492833
5.0,56.0,35.0,915291.0,48540.0,63.10000000000002,0.11306050783360345,1.1306050783360344,0.00016212185664738287
5.0,57.0,5.0,919002.0,48570.0,63.07999999999993,0.11299297676931357,1.1299297676931355,0.00016203562347759653
5.0,57.0,35.0,917194.0,48600.0,63.01999999999998,0.11279038357644502,1.1279038357644502,0.00016197728732994957
5.0,58.0,5.0,918484.0,48630.0,62.98000000000002,0.112655321447866,1.1265532144786599,0.00016190513644913303
5.0,58.0,35.0,920617.0,48660.0,62.91999999999996,0.11245272825499708,1.1245272825499708,0.00016184695268084726
5.0,59.0,5.0,922074.0,48690.0,62.89999999999998,0.11238519719070757,1.1238519719070756,0.00016176110141903724
5.0,59.0,35.0,923838.0,48720.0,62.860000000000014,0.11225013506212855,1.1225013506212853,0.00016168921694127082
6.0,0.0,5.0,924472.0,48750.0,62.819999999999936,0.11211507293354914,1.1211507293354914,0.00016161742093670785
6.0,0.0,35.0,925472.0,48780.0,62.799999999999955,0.11204754186925962,1.1204754186925963,0.00016153186923549413
6.0,1.0,5.0,926800.0,48810.0,62.74000000000001,0.1118449486763911,1.1184494867639108,0.00016147409369465454
6.0,1.0,35.0,926648.0,48840.0,62.69999999999993,0.11170988654781168,1.1170988654781169,0.0001614025621318977
